storename,address_original,address_normalize[0],address_normalize[1],?????,url,?????,????,????,????????,??????????,????????,????????,??????,???????????,????,?????,????(??|??|???),?????(??|??|???),????(??|??|???),?????(??|??|???),???1????????,??,??,page,???
??????,?????5-2-10,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190001231,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,['??????'],na,3|3|-,na,na,2.3|1|1.3,?????,na,na,5,
??????,?????2-20-30,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000045,na,????,????,['?????????'],"['?????', '??·?·????????·??·?????']",na,na,['????'],na,['??(????????)'],['??????'],1|-|-,na,na,2|-|-,20,na,na,5,
??????,??????1040,na,na,7/1/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000046,na,????,????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '???????', '??????']",na,['??????'],na,1|1|-,na,na,na,31.5,na,na,5,
???????????,??????2??1-20,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000651,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,1|1|-,na,na,4|4|-,25,na,na,5,
??????,??????21-16,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000081,na,????,????,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,"['??(?????????????????)', '??????']",['??????'],1|1|-,na,na,1|1|-,27.3,na,na,5,
??????????,?????5-5-3,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000096,na,?????,?????,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????', '????????????']",na,"['??(?????????????????)', '??????', '????????']",['???????'],4|3|1,na,na,9|5|4,71.4,na,na,5,
??????,??????2-27-7,na,na,12/29/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000022,na,?? ??,?? ??,['?????????'],na,na,na,['??????????????'],na,['??(????????)'],"['??????', '???????', '??????']",1|1|-,na,na,1|1|-,10,na,na,5,
????????? ???,??????2948-6,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190000764,na,????????? ??? ?? ??,?? ?,na,na,na,na,"['?????????????', '????????']",na,na,na,0.1|-|0.1,na,na,na,na,na,na,5,
???????,?????1-6-3,na,na,6/4/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000099,na,????,????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '??????????????']",na,['??????'],"['??????', '???????']",3|2|1,na,na,2|2|-,30,na,na,5,
???????????,?????2-16-16,na,na,6/29/2015,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000656,na,?? ??,?? ??,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??(????????)'],['??????'],1|1|-,na,na,3|2|1,30,na,na,5,
??????,?????4-1-41,na,na,6/30/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000119,na,?? ??,?? ??,"['?????????', '????????????(????)?????']",na,na,na,"['????', '??????????', '?????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,3|2|1,23,na,na,5,
???????,??????2-34-4,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000026,na,????,????,['?????????'],['?????'],na,na,"['????', '??????????????']",na,"['??(?????????????????)', '??????']",['???????'],1|1|-,na,na,na,6,na,na,5,
??????,?????2-7-14,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000121,na,????,????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '??????????', '??????????????']",na,"['??(????????)', '??????']",['??????'],1|1|-,na,na,4|4|-,30,na,na,5,
??????,??????3793-12,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000084,na,????,????,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??(????????)'],na,1|1|-,na,na,2|2|-,27.7,na,na,5,
??????,?????2-9-16,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000092,na,????,????,['?????????'],na,na,na,['??????????????'],na,na,na,1|1|-,na,na,2|2|-,21,na,na,5,
???????,?????5-8-28,na,na,8/13/2012,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000104,na,?????,?????,['?????????'],['?????'],na,na,"['????', '??????????????']",na,['??????'],['??????'],1|-|-,na,na,1|-|-,10,na,na,5,
?????????,??????4-1-27,na,na,9/10/2012,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000063,na,????,????,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['??????????', '??????????????']",na,na,"['??????', '???????']",1|1|-,na,na,1|1|-,10.3,na,na,5,
????,???????1-27-1,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000667,na,?? ??,?? ??,na,na,na,na,"['????', '?????????????', '??????????????']",na,na,na,2|1|1,na,na,-|3|-,na,na,na,5,
??????,?????4-8-35,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000126,na,????,????,['?????????'],na,na,na,"['????', '??????????????']",na,"['??(?????????????????)', '??????']","['??????', '???????']",4|3|1,na,na,2|2|-,40,na,na,5,
??????,??????175-9,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000005,na,????,????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '??????????????']",na,"['??(?????????????????)', '??????']",na,3|2|1,na,na,na,35,na,na,5,
???????,???????1892,na,na,5/31/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000233,na,????,????,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['?????????????', '??????????????']",na,"['??(?????????????????)', '??????']",['??????'],1|1|-,na,na,2|2|-,12.8,na,na,6,
??????,?????3-5-22,na,na,6/5/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000072,na,????,????,"['?????????', '?????????', '????????????(????)?????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],"['??????', '???????', '??????????????', '?????????????']",2|2|-,na,na,6.1|5|1.1,37.7,na,na,6,
?????,?????4-9-13,na,na,6/29/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000605,na,?? ??,?? ??,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????']",na,"['??????', '????????']","['??????', '???????']",1|1|-,na,na,5.2|4|1.2,28,na,na,6,
??????,???????177-1,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000035,na,?????,?????,['?????????'],['?????'],na,na,"['????', '??????????????']",na,na,na,2|2|-,na,na,2|2|-,9.5,na,na,6,
?????,?????6-15,na,na,6/7/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000040,na,? ?,? ?,['?????????'],"['?????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,"['??(????????)', '??????', '????????']","['??????', '???????', '?????????????']",1|1|-,na,na,2|2|-,18,na,na,6,
?????????,?????4-14-20,na,na,7/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000504,na,?? ???,?? ???,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,2|2|-,15,na,na,6,
??????,??????537-1,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000076,na,???,???,"['?????????', '?????????']",['?????'],na,na,"['????', '?????????????', '??????????????']",na,na,['??????'],2.5|2|0.5,na,na,3|3|-,41.3,na,na,6,
??????,????????238,na,na,3/21/2008,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000012,na,????,????,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????']",na,na,"['????', '??????????', '???????', '?????????', '?????????????', '??????????????']",na,"['??(????????)', '??????']",['??????'],1|1|-,na,na,3.5|2|3,35,na,na,6,
??????,?????3-4-20,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000429,na,?? ??,????,['?????????'],['?????'],na,na,"['????', '?????????????', '??????????????']",na,na,"['??????', '???????']",2|1|1,na,na,-|-|-,5,na,na,6,
(?)???????????????,??????1-2-13 ????????3F,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000018,na,??????????????????????????,?? ??,"['?????????', '????????????', '???????????']",['??????'],na,na,"['????', '??????????????']",na,na,['??????'],2.5|1|1.5,na,na,6|5|1,30.5,na,na,6,
????????,??????287-2,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000047,na,?? ??,?? ??,"['?????????', '?????????']",['??????'],na,na,"['????', '??????????????']",na,na,"['??????', '???????']",1|1|-,na,na,3|-|3,32,na,na,6,
??????????????,??????1-18-4,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000117,na,????,????,['?????????'],['?????'],na,na,"['????', '?????????????', '??????????????']",na,na,na,3.1|3|0.1,na,na,6|3|3,50,na,na,6,
????????,?????2-1-21,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000098,na,?????,?????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????????', '??????????????']",na,['??(????????)'],['??????'],3|3|-,na,na,3.1|2|1.1,45,na,na,6,
??????,?????4-6-3,na,na,3/21/2008,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000055,na,????,????,"['?????????', '?????????']",na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,2.5|2|0.5,33.1,na,na,6,
??????,?????2-5-10,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000102,na,????,????,['?????????'],na,na,na,na,na,na,na,1|1|-,na,na,na,6,na,na,6,
????????? ??·??,??????1??2-14,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000673,na,????,????,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????', '????????', '??????????????']",na,na,na,2|1|1,na,na,5|4|1,50,na,na,6,
??????,??????2304-4,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000086,na,????,????,['?????????'],na,na,na,"['????', '??????????????']",na,['??????'],['??????'],1|1|-,na,na,1.9|1|0.9,12,na,na,6,
??????,?????1??3-27,na,na,5/27/2014,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000649,na,?? ??,?? ??,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????', '?????????????', '????????', '??????????????', '????????????']",na,['??????'],na,1|1|-,na,na,1|1|-,22,na,na,6,
??????,???????8-33,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000043,na,????,????,"['?????????', '?????????', '????????????', '???????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????????', '??????????????']",na,"['??????', '??????????', '??????????????????????']",['??????'],1|1|-,na,na,na,12.9,na,na,6,
??????,???????148,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000034,na,?? ??,?? ??,"['?????????', '?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,['??????'],"['??????', '???????', '??????????????', '?????????????']",3|2|1,na,na,4|2|2,55,na,na,6,
??????,??????2-30-15,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000023,na,???? ????,?? ??,"['?????????', '????????????', '???????????']",na,na,na,"['??????????????', '????????????']",na,na,na,1|1|-,na,na,2|2|-,11,na,na,7,
??????????,??????4089-2,na,na,6/8/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000085,na,?? ?,?? ?,['?????????'],['?????'],na,na,"['????', '??????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,1|1|-,17.2,na,na,7,
miho?????????,???????2339,na,na,5/31/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000611,na,?? ??,?? ??,"['?????????', '????????????', '???????????', '?????????']","['??????', '??????', '??·?·????????·??·?????', '???????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,na,"['??????', '???????']",1.5|1|0.5,na,na,5|4|1,35.8,na,na,7,
??????,?????2-3-4,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000080,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '??????????', '?????????', '??????????????']",na,na,"['??????', '???????', '??????']",2.2|2|0.2,na,na,1|1|-,15,na,na,7,
??????,??????1-21-7 ????(????)2F,na,na,9/10/2012,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000019,na,?? ??,?? ??,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,['????'],na,['??????'],"['??????', '???????']",1|1|-,na,na,2|1|1,12,na,na,7,
??????,?????1-6-20,na,na,6/5/2013,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000112,na,?? ?,?? ?,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,['??????'],na,2|2|-,na,na,1|-|1,25,na,na,7,
??????????????????,??????5283,na,na,10/21/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000505,na,?? ??,?? ??,"['?????????', '?????????']",['??????'],na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,4|4|-,30,na,na,7,
??????,??????2-33-8 ????1F,na,na,9/5/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000025,na,????,????,"['?????????', '?????????']",['?????'],na,na,"['????', '??????????????', '????????????']",na,na,"['??????', '??????']",1|1|-,na,na,6|4|2,18,na,na,7,
???????????????? ????????,??????1-1-1,na,na,6/29/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000004,na,???????????????? ??? ????,?? ?????,"['?????????', '?????????', '????????????', '???????????', '????????????(????)?????', '?????????']","['?????', '??????', '??????', '??????', '??·?·????????·??·?????', '???????']",na,na,"['????', '??????????', '????????????', '???????', '?????????', '?????????????', '????????', '??????????????', '??????????????', '?????????', '???????????', '???????', '?????????', '????????????']",na,"['???????', '??????', '??????????????', '??????']","['??????', '???????', '??????????????', '?????????????', '??????']",4|4|-,na,na,2|2|-,?????,na,na,7,
??????????,?????2-1-33,na,na,7/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000083,na,(??)???????? ?? ?? ??,?????,"['?????????', '????????????(????)?????', '?????????']",na,na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],"['??????', '???????', '??????????????', '?????????????']",11|1|10,na,na,9|3|6,11.8,na,na,7,
??????????,?????1-4-10,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000618,na,????,????,['?????????'],na,na,na,"['????', '??????????????']",na,na,['??????'],1|1|-,na,na,0.5|-|0.5,na,na,na,7,
????,??????1-9-6,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000020,na,?? ?,?? ?,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????']",na,na,"['??????', '???????']",2|2|-,na,na,1.6|1|0.6,20,na,na,7,
?????????????,?????3-3-4,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000011,na,??? ????,?? ?? ?,['?????????'],na,na,na,"['?????????????', '????????', '??????????????', '??????????????', '???????', '????????????']",na,"['???????????????????', '??????']","['??????', '??????????????', '?????????????']",0.6|-|0.6,na,na,1|1|-,?????,na,na,7,
??????,??????1-48-1,na,na,5/23/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000109,na,???,???,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????']",na,"['??(?????????????????)', '??????']","['??????', '???????']",1.7|1.7|-,na,na,5.5|5.5|-,35,na,na,7,
??????,?????1-3-16,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000054,na,????,?? ??,['?????????'],na,na,na,['??????????????'],na,['??????'],['??????'],1|-|-,na,na,1|-|-,25,na,na,7,
??????,??????1-8,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000067,na,????,????,"['?????????', '????????????(????)?????']",na,na,na,['????'],na,na,na,1|1|-,na,na,1|-|1,7.3,na,na,7,
??????,???????20,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000066,na,?? ?,?? ?,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????']",na,['??????'],['??????'],1|-|-,na,na,na,23,na,na,7,
??????,?????1-7-14 ?????2F,na,na,6/4/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000100,na,????,????,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['??????????????', '????????????']",na,['??????'],"['???????', '??????']",2|2|-,na,na,2|2|-,20,na,na,7,
?????????,?????2-6-6 ?????????,na,na,6/15/2012,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000601,na,?? ?,?? ?,"['?????????', '?????????']","['?????', '??????']",na,na,['??????????????'],na,['??????'],"['??????', '?????????????']",1|1|-,na,na,3|3|-,30,na,na,7,
????????????????,?????????3251-1,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000048,na,????? ?? ???,?? ??,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????']",na,na,"['????', '????????????', '???????', '?????????????', '????????', '??????????????', '??????????????', '?????????', '????????????']",na,na,na,0.6|-|0.6,na,na,2|2|-,?????,na,na,7,
?????? ??? ??????,?????1??2?17?,na,na,7/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000295,na,?????? ???,?????,"['?????????', '?????????']",['?????'],na,na,"['????', '??????????????']",na,['??????'],['??????'],2|1|1,na,na,5|3|2,35,na,na,8,
???????,??????13-7,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000297,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????????', '????????????']",na,na,['??????'],2|1|1,na,na,3|3|-,6,na,na,8,
?????????????,?????2-10-2,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000305,na,???????,???,"['?????????', '????????????(????)?????']","['?????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['?????????????', '????????', '??????????????']",na,['??????'],['??????'],1.5|1|0.5,na,na,4|3|1,40,na,na,8,
??????,??????1-5-14,na,na,5/17/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000300,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????????']",na,na,['??????'],2|2|-,na,na,4|4|-,35,na,na,8,
??????,?????1-2-17,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000304,na,????,????,['?????????'],['?????'],na,na,['??????????????'],na,na,na,2|2|-,na,na,2|2|-,20,na,na,8,
????????,?????1-10-7,na,na,8/4/2015,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000302,na,????,????,['?????????'],na,na,na,"['????', '??????????', '??????????????']",na,na,"['???????', '??????']",1|1|-,na,na,na,5,na,na,8,
???????????????,?????2??9-25,na,na,6/9/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190001244,na,??? ??,-,['?????????'],na,na,na,['??????????????'],na,"['?????????', '????????????', '??????????', '??????', '??????', '????????']","['???????', '??????????????', '?????????????', '??????']",1|-|1,na,na,na,?????,na,na,8,
??????,?????2-6-3,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000307,na,?? ??,?? ????,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,1|-|1,18,na,na,8,
?????????????,????????2?50? ?????????????3?,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000679,na,?? ??,?? ??,"['?????????', '????????????', '???????????']",na,na,na,['??????????????'],na,na,na,1|1|-,na,na,2|2|-,na,na,na,8,
????????? HIRO??,??????????1045,na,na,5/17/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000436,na,?????? ?????????,????,"['?????????', '?????????', '?????????']",na,na,na,"['????', '?????????????', '????????', '??????????????']",na,"['??????', '????????']",na,1|1|-,na,na,5|2|3,na,na,na,8,
??????? ??????,?????????595-2,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000296,na,???????,????,"['?????????', '?????????', '????????????', '???????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,['??????????????'],na,"['??(?????????????????)', '??(????????)', '??????', '????????']","['??????', '???????']",1|1|-,na,na,5|4|1,25,na,na,8,
??????,????????2756-1,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000299,na,????,????,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,['??????'],['???????'],1|1|-,na,na,5|3|2,21.4,na,na,8,
??????,????????1768-2,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000298,na,????,????,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,4.5|3|1.5,37,na,na,8,
??????,?????2-5-27,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000306,na,????,????,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????', '?????????????', '??????????????']",na,na,['???????'],1|1|-,na,na,2|1|1,15,na,na,8,
??????,??????2-3-17,na,na,7/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000301,na,????,????,"['?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '??????????????']",na,['??????'],na,2|2|-,na,na,na,20,na,na,8,
??????,????????1182,na,na,5/17/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000267,na,?????,?????,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,2|-|2,20,na,na,8,
??????,????????608,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000290,na,?? ?,?? ?,na,na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,1|1|-,10,na,na,8,
?????????,????????2609-5,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000289,na,?? ??,?? ??,['?????????'],['?????'],na,na,"['????', '??????????????']",na,na,na,1|-|-,na,na,1|-|-,22.1,na,na,8,
??????,?????????2360,na,na,6/10/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000292,na,????,????,['?????????'],['?????'],na,na,"['????', '?????????????', '??????????????']",na,na,na,na,na,na,1|-|1,10,na,na,8,
??????,?????????1717,na,na,7/18/2017,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000277,na,???????,????,['?????????'],['?????'],na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,3|2|1,32.4,na,na,8,
?????? ?????? ??????,????????3633-1,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000291,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '??????????????']",na,na,na,3|2|1,na,na,3|1|2,44.6,na,na,9,
